Customer,SubCustomer,SubCustomer.sum,SubCustomer.detail,SubCustomer.platform,SubCustomer.FMS,SubCustomer.component,Subcustomer.Obsolete
Other Agencies,NATIONAL ENDOWMENT FOR THE HUMANITIES,NATIONAL ENDOWMENT FOR THE HUMANITIES,NATIONAL ENDOWMENT FOR THE HUMANITIES,NATIONAL ENDOWMENT FOR THE HUMANITIES,All other Customers,NATIONAL ENDOWMENT FOR THE HUMANITIES,FALSE
Other Agencies,NATIONAL FOUNDATION ON THE ARTS AND THE HUMANITIES,NATIONAL FOUNDATION ON THE ARTS AND THE HUMANITIES,NATIONAL FOUNDATION ON THE ARTS AND THE HUMANITIES,NATIONAL FOUNDATION ON THE ARTS AND THE HUMANITIES,All other Customers,NATIONAL FOUNDATION ON THE ARTS AND THE HUMANITIES,FALSE
Other Agencies,NATIONAL GALLERY OF ART,NATIONAL GALLERY OF ART,NATIONAL GALLERY OF ART,NATIONAL GALLERY OF ART,All other Customers,NATIONAL GALLERY OF ART,FALSE
Other Agencies,NATIONAL LABOR RELATIONS BOARD,NATIONAL LABOR RELATIONS BOARD,NATIONAL LABOR RELATIONS BOARD,NATIONAL LABOR RELATIONS BOARD,All other Customers,NATIONAL LABOR RELATIONS BOARD,FALSE
Other Agencies,NATIONAL MEDIATION BOARD,NATIONAL MEDIATION BOARD,NATIONAL MEDIATION BOARD,NATIONAL MEDIATION BOARD,All other Customers,NATIONAL MEDIATION BOARD,FALSE
Other Agencies,NATIONAL SCIENCE FOUNDATION,NATIONAL SCIENCE FOUNDATION,NATIONAL SCIENCE FOUNDATION,NATIONAL SCIENCE FOUNDATION,All other Customers,NATIONAL SCIENCE FOUNDATION,FALSE
Other Agencies,NATIONAL TRANSPORTATION SAFETY BOARD,NATIONAL TRANSPORTATION SAFETY BOARD,NATIONAL TRANSPORTATION SAFETY BOARD,NATIONAL TRANSPORTATION SAFETY BOARD,All other Customers,NATIONAL TRANSPORTATION SAFETY BOARD,FALSE
Other Agencies,NUCLEAR REGULATORY COMMISSION,NUCLEAR REGULATORY COMMISSION,NUCLEAR REGULATORY COMMISSION,NUCLEAR REGULATORY COMMISSION,All other Customers,NUCLEAR REGULATORY COMMISSION,FALSE
Other Agencies,OCCUPATIONAL SAFETY AND HEALTH REVIEW COMMISSION,OCCUPATIONAL SAFETY AND HEALTH REVIEW COMMISSION,OCCUPATIONAL SAFETY AND HEALTH REVIEW COMMISSION,OCCUPATIONAL SAFETY AND HEALTH REVIEW COMMISSION,All other Customers,OCCUPATIONAL SAFETY AND HEALTH REVIEW COMMISSION,FALSE
Other Agencies,OFFICE OF PERSONNEL MANAGEMENT,OFFICE OF PERSONNEL MANAGEMENT,OFFICE OF PERSONNEL MANAGEMENT,OFFICE OF PERSONNEL MANAGEMENT,All other Customers,OFFICE OF PERSONNEL MANAGEMENT,FALSE
Other Agencies,OFFICE OF SPECIAL COUNSEL,OFFICE OF SPECIAL COUNSEL,OFFICE OF SPECIAL COUNSEL,OFFICE OF SPECIAL COUNSEL,All other Customers,OFFICE OF SPECIAL COUNSEL,FALSE
Other Agencies,RAILROAD RETIREMENT BOARD,RAILROAD RETIREMENT BOARD,RAILROAD RETIREMENT BOARD,RAILROAD RETIREMENT BOARD,All other Customers,RAILROAD RETIREMENT BOARD,FALSE
Other Agencies,SECURITIES AND EXCHANGE COMMISSION,SECURITIES AND EXCHANGE COMMISSION,SECURITIES AND EXCHANGE COMMISSION,SECURITIES AND EXCHANGE COMMISSION,All other Customers,SECURITIES AND EXCHANGE COMMISSION,FALSE
Other Agencies,SELECTIVE SERVICE SYSTEM,SELECTIVE SERVICE SYSTEM,SELECTIVE SERVICE SYSTEM,SELECTIVE SERVICE SYSTEM,All other Customers,SELECTIVE SERVICE SYSTEM,FALSE
Other Agencies,SMALL BUSINESS ADMINISTRATION,SMALL BUSINESS ADMINISTRATION,SMALL BUSINESS ADMINISTRATION,SMALL BUSINESS ADMINISTRATION,All other Customers,SMALL BUSINESS ADMINISTRATION,FALSE
Other Agencies,SMITHSONIAN INSTITUTION,SMITHSONIAN INSTITUTION,SMITHSONIAN INSTITUTION,SMITHSONIAN INSTITUTION,All other Customers,SMITHSONIAN INSTITUTION,FALSE
Other Agencies,State,State,State,State,State,State,FALSE
Other Agencies,Supreme Court,Supreme Court,Supreme Court,Supreme Court,All other Customers,Supreme Court,FALSE
Other Agencies,Transportation,Transportation,Transportation,Transportation,All other Customers,Transportation,FALSE
Other Agencies,Treasury,Treasury,Treasury,Treasury,All other Customers,Treasury,FALSE
Other Agencies,Uncategorized,Uncategorized,Uncategorized,Uncategorized,All other Customers,Uncategorized,FALSE
Other Agencies,VA,VA,VA,VA,All other Customers,VA,FALSE
State and IAP,State,State,State,State,State,State,FALSE
State and IAP,USAID,USAID,USAID,USAID,USAID,USAID,FALSE
State and IAP,AFRICAN DEVELOPMENT FOUNDATION,AFRICAN DEVELOPMENT FOUNDATION,AFRICAN DEVELOPMENT FOUNDATION,AFRICAN DEVELOPMENT FOUNDATION,All other Customers,AFRICAN DEVELOPMENT FOUNDATION,FALSE
State and IAP,IAP,IAP,IAP,IAP,IAP,IAP,FALSE
State and IAP,INTER-AMERICAN FOUNDATION,INTER-AMERICAN FOUNDATION,INTER-AMERICAN FOUNDATION,INTER-AMERICAN FOUNDATION,All other Customers,INTER-AMERICAN FOUNDATION,FALSE
State and IAP,MILLENNIUM CHALLENGE CORPORATION,MILLENNIUM CHALLENGE CORPORATION,MILLENNIUM CHALLENGE CORPORATION,MILLENNIUM CHALLENGE CORPORATION,All other Customers,MILLENNIUM CHALLENGE CORPORATION,FALSE
State and IAP,OVERSEAS PRIVATE INVESTMENT CORPORATION,OVERSEAS PRIVATE INVESTMENT CORPORATION,OVERSEAS PRIVATE INVESTMENT CORPORATION,OVERSEAS PRIVATE INVESTMENT CORPORATION,All other Customers,OVERSEAS PRIVATE INVESTMENT CORPORATION,FALSE
State and IAP,PEACE CORPS,PEACE CORPS,PEACE CORPS,PEACE CORPS,All other Customers,PEACE CORPS,FALSE
State and IAP,Uncategorized,Uncategorized,Uncategorized,Uncategorized,Uncategorized,Uncategorized,FALSE
Uncategorized,Air Force,Uncategorized,Uncategorized,Uncategorized,Uncategorized,Uncategorized,FALSE
Uncategorized,Army,Uncategorized,Uncategorized,Uncategorized,Uncategorized,Uncategorized,FALSE
Uncategorized,DLA,Uncategorized,Uncategorized,Uncategorized,Uncategorized,Uncategorized,FALSE
Uncategorized,Interior,Uncategorized,Uncategorized,Uncategorized,Uncategorized,Uncategorized,FALSE
Uncategorized,NULL,Uncategorized,Uncategorized,Uncategorized,Uncategorized,Uncategorized,FALSE
Uncategorized,Other DoD,Uncategorized,Uncategorized,Uncategorized,Uncategorized,Uncategorized,FALSE
Uncategorized,Uncategorized,Uncategorized,Uncategorized,Uncategorized,Uncategorized,Uncategorized,FALSE
VA,VA,VA,VA,VA,All other Customers,VA,FALSE
