ProductOrServiceCode,Fiscal_Year_gt_2020,product_or_service_code_description,minofsignedyear,maxofsignedyear,minoflast_modified_year,maxoflast_modified_year,PlatformPortfolio,ProductServiceOrRnDarea,RnD_budgetActivity
AE14,FALSE,R&D-EMPL GROW-PRODUCTIVTY-ENG DEV,2004,2020,2005,2020,Other R&D and Knowledge Based,Engineering Development,Engineering Development
AE16,FALSE,R&D-EMPL GROW-PRODUCTIVTY-MGMT SUP,2002,2009,2005,2021,Other R&D and Knowledge Based,R&D administrative and operational expenses,R&D administrative and operational expenses
AE16,TRUE,R&D- ECONOMIC GROWTH: EMPLOYMENT GROWTH/PRODUCTIVITY (MANAGEMENT/SUPPORT),2020,2023,2020,2023,Other R&D and Knowledge Based,R&D administrative and operational expenses,R&D administrative and operational expenses
AE21,FALSE,R&D-PROD/SERV IMPROVEMENT-B RES,2001,2009,2004,2020,Other R&D and Knowledge Based,Basic Research (6.1),Basic Research (6.1)
AE21,TRUE,R&D- ECONOMIC GROWTH: PRODUCT/SERVICE IMPROVEMENT (BASIC RESEARCH),2020,2023,2020,2023,Other R&D and Knowledge Based,Basic Research (6.1),Basic Research (6.1)
AE22,FALSE,R&D-PROD/SERV IMPROVEMENT-A RES/EXP,2001,2009,2002,2021,Other R&D and Knowledge Based,Applied Research (6.2),Applied Research (6.2)
AE22,TRUE,R&D- ECONOMIC GROWTH: PRODUCT/SERVICE IMPROVEMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),2020,2022,2020,2022,Other R&D and Knowledge Based,Applied Research (6.2),Applied Research (6.2)
AE23,FALSE,R&D-PROD/SERV IMPROVEMENT-ADV DEV,2001,2009,2004,2020,Other R&D and Knowledge Based,Advanced Development,Advanced Development
AE23,TRUE,R&D- ECONOMIC GROWTH: PRODUCT/SERVICE IMPROVEMENT (ADVANCED DEVELOPMENT),2020,2022,2020,2022,Other R&D and Knowledge Based,Advanced Development,Advanced Development
AE24,FALSE,R&D-PROD/SERV IMPROVEMENT-ENG DEV,2001,2009,2001,2021,Other R&D and Knowledge Based,Engineering Development,Engineering Development
AE24,TRUE,R&D- ECONOMIC GROWTH: PRODUCT/SERVICE IMPROVEMENT (ENGINEERING DEVELOPMENT),2020,2023,2021,2023,Other R&D and Knowledge Based,Engineering Development,Engineering Development
AE25,FALSE,R&D-PROD/SERV IMPROVEMENT-OPSY DEV,2002,2009,2006,2019,Other R&D and Knowledge Based,Operational Systems Development,Operational Systems Development
AE25,TRUE,R&D- ECONOMIC GROWTH: PRODUCT/SERVICE IMPROVEMENT (OPERATIONAL SYSTEMS DEVELOPMENT),2020,2023,2020,2023,Other R&D and Knowledge Based,Operational Systems Development,Operational Systems Development
AE26,FALSE,R&D-PROD/SERV IMPROVEMENT-MGMT SUP,2001,2009,2002,2021,Other R&D and Knowledge Based,R&D administrative and operational expenses,R&D administrative and operational expenses
AE26,TRUE,R&D- ECONOMIC GROWTH: PRODUCT/SERVICE IMPROVEMENT (MANAGEMENT/SUPPORT),2020,2023,2020,2023,Other R&D and Knowledge Based,R&D administrative and operational expenses,R&D administrative and operational expenses
AE27,FALSE,R&D-PROD/SERV IMPROVEMENT-COMERCLIZ,2001,2009,2006,2021,Other R&D and Knowledge Based,Commercialization,Commercialization
AE27,TRUE,R&D- ECONOMIC GROWTH: PRODUCT/SERVICE IMPROVEMENT (COMMERCIALIZED),2020,2023,2020,2023,Other R&D and Knowledge Based,Commercialization,Commercialization
AE31,FALSE,MANUFACTURING TECHNOLOGY (BASIC),2001,2009,2004,2021,Other R&D and Knowledge Based,Basic Research (6.1),Basic Research (6.1)
AE31,TRUE,R&D- ECONOMIC GROWTH: MANUFACTURING TECHNOLOGY (BASIC RESEARCH),2020,2023,2020,2023,Other R&D and Knowledge Based,Basic Research (6.1),Basic Research (6.1)
AE32,FALSE,R&D-MANUFACTURING TECH-A RES/EXPL D,2001,2009,2006,2021,Other R&D and Knowledge Based,Applied Research (6.2),Applied Research (6.2)
AE32,TRUE,R&D- ECONOMIC GROWTH: MANUFACTURING TECHNOLOGY (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),2020,2023,2020,2023,Other R&D and Knowledge Based,Applied Research (6.2),Applied Research (6.2)
AE33,FALSE,MANUFACTURING TECHNOLOGY (ADVANCED),2001,2009,2003,2022,Other R&D and Knowledge Based,Advanced Development,Advanced Development
AE33,TRUE,R&D- ECONOMIC GROWTH: MANUFACTURING TECHNOLOGY (ADVANCED DEVELOPMENT),2020,2023,2020,2023,Other R&D and Knowledge Based,Advanced Development,Advanced Development
AE34,FALSE,R&D-MANUFACTURING TECH-ENG DEV,2001,2009,2005,2021,Other R&D and Knowledge Based,Engineering Development,Engineering Development
AE34,TRUE,R&D- ECONOMIC GROWTH: MANUFACTURING TECHNOLOGY (ENGINEERING DEVELOPMENT),2020,2023,2020,2023,Other R&D and Knowledge Based,Engineering Development,Engineering Development
AE35,FALSE,R&D-MANUFACTURING TECH-OPSY DEV,2001,2009,2003,2022,Other R&D and Knowledge Based,Operational Systems Development,Operational Systems Development
AE35,TRUE,R&D- ECONOMIC GROWTH: MANUFACTURING TECHNOLOGY (OPERATIONAL SYSTEMS DEVELOPMENT),2020,2022,2020,2023,Other R&D and Knowledge Based,Operational Systems Development,Operational Systems Development
AE36,FALSE,R&D-MANUFACTURING TECH-MGMT SUP,2001,2009,2005,2021,Other R&D and Knowledge Based,R&D administrative and operational expenses,R&D administrative and operational expenses
AE37,FALSE,R&D-MANUFACTURING TECH-COMERCLIZ,2002,2009,2006,2021,Other R&D and Knowledge Based,Commercialization,Commercialization
AE37,TRUE,R&D- ECONOMIC GROWTH: MANUFACTURING TECHNOLOGY (COMMERCIALIZED),2020,2023,2020,2023,Other R&D and Knowledge Based,Commercialization,Commercialization
AE91,FALSE,R&D-ECON GROW-PRODUCTIVTY-B RES,2005,2020,2007,2021,Other R&D and Knowledge Based,Basic Research (6.1),Basic Research (6.1)
AE92,FALSE,R&D-ECON GROW-PRODUCTIVTY-A RES/EXP,2001,2009,2003,2021,Other R&D and Knowledge Based,Applied Research (6.2),Applied Research (6.2)
AE92,TRUE,R&D- ECONOMIC GROWTH: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),2020,2023,2020,2023,Other R&D and Knowledge Based,Applied Research (6.2),Applied Research (6.2)
AE93,FALSE,R&D-ECON GROW-PRODUCTIVTY-ADV DEV,2003,2009,2008,2022,Other R&D and Knowledge Based,Advanced Development,Advanced Development
AE94,FALSE,R&D-ECON GROW-PRODUCTIVTY-ENG DEV,2005,2008,2008,2019,Other R&D and Knowledge Based,Engineering Development,Engineering Development
AE95,FALSE,R&D-ECON GROW-PRODUCTIVTY-OPSY DEV,2005,2009,2006,2021,Other R&D and Knowledge Based,Operational Systems Development,Operational Systems Development
AE96,FALSE,R&D-ECON GROW-PRODUCTIVTY-MGMT SUP,2001,2009,2002,2019,Other R&D and Knowledge Based,R&D administrative and operational expenses,R&D administrative and operational expenses
AE96,TRUE,R&D- ECONOMIC GROWTH: OTHER (MANAGEMENT/SUPPORT),2020,2022,2021,2022,Other R&D and Knowledge Based,R&D administrative and operational expenses,R&D administrative and operational expenses
AE97,FALSE,R&D-ECON GROW-PRODUCTIVTY-COMERCLIZ,2003,2005,2006,2020,Other R&D and Knowledge Based,Commercialization,Commercialization
AF11,FALSE,R&D- EDUCATION: EDUCATIONAL (BASIC RESEARCH),2001,2020,2001,2022,Other R&D and Knowledge Based,Basic Research (6.1),Basic Research (6.1)
AF11,TRUE,"EDUCATION, TRAINING, EMPLOYMENT, & SOCIAL SVCS R&D SVCS; EDUCATION SVCS R&D; BASIC RESEARCH",2022,2023,2022,2023,Other R&D and Knowledge Based,Basic Research (6.1),Basic Research (6.1)
AF12,FALSE,R&D- EDUCATION: EDUCATIONAL (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),2001,2020,2001,2021,Other R&D and Knowledge Based,Applied Research (6.2),Applied Research (6.2)
AF12,TRUE,"EDUCATION, TRAINING, EMPLOYMENT, & SOCIAL SVCS R&D SVCS; EDUCATION SVCS R&D; APPLIED RESEARCH",2022,2023,2022,2023,Other R&D and Knowledge Based,Applied Research (6.2),Applied Research (6.2)
AF13,FALSE,R&D- EDUCATION: EDUCATIONAL (ADVANCED DEVELOPMENT),2001,2020,2003,2022,Other R&D and Knowledge Based,Advanced Development,Advanced Development
AF13,TRUE,"EDUCATION, TRAINING, EMPLOYMENT, & SOCIAL SVCS R&D SVCS; EDUC SVCS R&D; EXPERIMENTAL DEVELOPMENT",2022,2023,2022,2023,Other R&D and Knowledge Based,Experimental Development,Experimental Development
AF14,FALSE,R&D- EDUCATION: EDUCATIONAL (ENGINEERING DEVELOPMENT),2001,2020,2002,2021,Other R&D and Knowledge Based,Engineering Development,Engineering Development
AF14,TRUE,"EDUCATION, TRAINING, EMPLOYMENT, & SOCIAL SVCS R&D SVCS; EDUC SVCS R&D; R&D ADMINISTRATIVE EXPENSES",2022,2023,2022,2023,Other R&D and Knowledge Based,R&D administrative and operational expenses,R&D administrative and operational expenses
AF15,FALSE,R&D- EDUCATION: EDUCATIONAL (OPERATIONAL SYSTEMS DEVELOPMENT),2001,2020,2001,2022,Other R&D and Knowledge Based,Operational Systems Development,Operational Systems Development
AF15,TRUE,"EDUCATION, TRAINING, EMPLOYMENT, & SOCIAL SVCS R&D SVCS; EDUC SVCS R&D; R&D FACILITIES & MAJ EQUIP",2022,2023,2022,2023,Other R&D and Knowledge Based,R&D facilities and major equipment,R&D facilities and major equipment
AF16,FALSE,EDUCATION (MANAGEMENT/SUPPORT),2001,2009,2001,2022,Other R&D and Knowledge Based,R&D administrative and operational expenses,R&D administrative and operational expenses
AF16,TRUE,R&D- EDUCATION: EDUCATIONAL (MANAGEMENT/SUPPORT),2020,2023,2020,2023,Other R&D and Knowledge Based,R&D administrative and operational expenses,R&D administrative and operational expenses
AF17,FALSE,R&D-EDUCATIONAL-COMERCLIZ,2004,2009,2005,2021,Other R&D and Knowledge Based,Commercialization,Commercialization
AF17,TRUE,R&D- EDUCATION: EDUCATIONAL (COMMERCIALIZED),2022,2022,2022,2022,Other R&D and Knowledge Based,Commercialization,Commercialization
AF21,TRUE,"EDUCATION, TRAINING, EMPLOYMENT, & SOCIAL SVCS R&D SVCS; TRAINING & LABOR R&D; BASIC RESEARCH",2022,2023,2022,2023,Other R&D and Knowledge Based,Basic Research (6.1),Basic Research (6.1)
AF22,TRUE,"EDUCATION, TRAINING, EMPLOYMENT, & SOCIAL SVCS R&D SVCS; TRAINING & LABOR R&D; APPLIED RESEARCH",2022,2023,2022,2023,Other R&D and Knowledge Based,Applied Research (6.2),Applied Research (6.2)
AF23,TRUE,"EDUCATION, TRAINING, EMPLOYMENT, & SOCIAL SVCS R&D; TRAINING & LABOR R&D; EXPERIMENTAL DEVELOPMENT",2022,2023,2022,2023,Other R&D and Knowledge Based,Experimental Development,Experimental Development
AF24,TRUE,"EDUCATION, TRAINING, EMPLOYMENT, & SOCIAL SVCS R&D SVCS; TRAINING & LABOR R&D; R&D ADMIN EXPENSES",2022,2023,2022,2023,Other R&D and Knowledge Based,R&D administrative and operational expenses,R&D administrative and operational expenses
AF25,TRUE,"EDUCATION, TRAINING, EMPLOYMENT & SOCIAL SVCS R&D; TRAINING & LABOR R&D; R&D FACILITIES & MAJ EQUIP",2022,2023,2022,2023,Other R&D and Knowledge Based,R&D facilities and major equipment,R&D facilities and major equipment
AF31,TRUE,"EDUCATION, TRAINING, EMPLOYMENT, & SOCIAL SVCS R&D SVCS; SOCIAL SVCS R&D; BASIC RESEARCH",2022,2023,2022,2023,Other R&D and Knowledge Based,Basic Research (6.1),Basic Research (6.1)
AF32,TRUE,"EDUCATION, TRAINING, EMPLOYMENT, & SOCIAL SVCS R&D SVCS; SOCIAL SVCS R&D; APPLIED RESEARCH",2022,2023,2022,2023,Other R&D and Knowledge Based,Applied Research (6.2),Applied Research (6.2)
AF33,TRUE,"EDUCATION, TRAINING, EMPLOYMENT, & SOCIAL SVCS R&D SVCS; SOCIAL SVCS R&D; EXPERIMENTAL DEVELOPMENT",2022,2023,2022,2023,Other R&D and Knowledge Based,Experimental Development,Experimental Development
AF34,TRUE,"EDUCATION, TRAINING, EMPLOYMENT & SOCIAL SVCS R&D SVCS; SOCIAL SVCS R&D; R&D ADMINISTRATIVE EXPENSES",2022,2023,2022,2023,Other R&D and Knowledge Based,R&D administrative and operational expenses,R&D administrative and operational expenses
AF35,TRUE,"EDUCATION, TRAINING, EMPLOYMENT & SOCIAL SVCS R&D SVCS; SOCIAL SVCS R&D; R&D FACILITIES & MAJ EQUIP",2022,2023,2022,2023,Other R&D and Knowledge Based,R&D facilities and major equipment,R&D facilities and major equipment
AG10,FALSE,R&D-ENERGY - COAL,2005,2007,2005,2007,Other R&D and Knowledge Based,Uncategorized R&D,Uncategorized R&D
AG11,FALSE,R&D- ENERGY: COAL (BASIC RESEARCH),2001,2020,2004,2022,Other R&D and Knowledge Based,Basic Research (6.1),Basic Research (6.1)
AG11,TRUE,ENERGY R&D SERVICES; ENERGY SUPPLY; BASIC RESEARCH,2022,2023,2022,2023,Other R&D and Knowledge Based,Basic Research (6.1),Basic Research (6.1)
AG12,FALSE,COAL (APPLIED/EXPLORATORY),2001,2009,2001,2020,Other R&D and Knowledge Based,Applied Research (6.2),Applied Research (6.2)
AG12,TRUE,ENERGY R&D SERVICES; ENERGY SUPPLY; APPLIED RESEARCH,2022,2023,2022,2023,Other R&D and Knowledge Based,Applied Research (6.2),Applied Research (6.2)
AG13,FALSE,COAL (ADVANCED),2001,2009,2004,2012,Other R&D and Knowledge Based,Advanced Development,Advanced Development
AG13,TRUE,ENERGY R&D SERVICES; ENERGY SUPPLY; EXPERIMENTAL DEVELOPMENT,2022,2023,2022,2023,Other R&D and Knowledge Based,Experimental Development,Experimental Development
AG14,FALSE,R&D- ENERGY: COAL (ENGINEERING DEVELOPMENT),2001,2020,2004,2022,Other R&D and Knowledge Based,Engineering Development,Engineering Development
AG14,TRUE,ENERGY R&D SERVICES; ENERGY SUPPLY; R&D ADMINISTRATIVE EXPENSES,2022,2023,2022,2023,Other R&D and Knowledge Based,R&D administrative and operational expenses,R&D administrative and operational expenses
AG15,FALSE,COAL (OPERATIONAL),2001,2007,2004,2015,Other R&D and Knowledge Based,Operational Systems Development,Operational Systems Development
AG15,TRUE,ENERGY R&D SERVICES; ENERGY SUPPLY; EXPENSES FOR R&D FACILITIES AND MAJOR EQUIPMENT,2023,2023,2023,2023,Other R&D and Knowledge Based,R&D facilities and major equipment,R&D facilities and major equipment
AG16,FALSE,COAL (MANAGEMENT/SUPPORT),2005,2007,2006,2007,Other R&D and Knowledge Based,R&D administrative and operational expenses,R&D administrative and operational expenses
AG17,FALSE,R&D-ENERGY - COAL-COMERCLIZ,2007,2008,2016,2016,Other R&D and Knowledge Based,Commercialization,Commercialization
AG21,FALSE,R&D- ENERGY: GAS (BASIC RESEARCH),2001,2020,2004,2021,Other R&D and Knowledge Based,Basic Research (6.1),Basic Research (6.1)
AG21,TRUE,ENERGY R&D SERVICES; ENERGY CONSERVATION; BASIC RESEARCH,2022,2023,2022,2023,Other R&D and Knowledge Based,Basic Research (6.1),Basic Research (6.1)
AG22,FALSE,R&D- ENERGY: GAS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),2001,2020,2004,2021,Other R&D and Knowledge Based,Applied Research (6.2),Applied Research (6.2)
AG22,TRUE,ENERGY R&D SERVICES; ENERGY CONSERVATION; APPLIED RESEARCH,2022,2023,2022,2023,Other R&D and Knowledge Based,Applied Research (6.2),Applied Research (6.2)
AG23,FALSE,GAS (ADVANCED),2001,2009,2001,2019,Other R&D and Knowledge Based,Advanced Development,Advanced Development
AG23,TRUE,ENERGY R&D SERVICES; ENERGY CONSERVATION; EXPERIMENTAL DEVELOPMENT,2022,2023,2022,2023,Other R&D and Knowledge Based,Experimental Development,Experimental Development
AG24,FALSE,GAS (ENGINEERING),2004,2009,2005,2013,Other R&D and Knowledge Based,Engineering Development,Engineering Development
AG25,FALSE,GAS (OPERATIONAL),2001,2009,2004,2021,Other R&D and Knowledge Based,Operational Systems Development,Operational Systems Development
AG25,TRUE,ENERGY R&D SERVICES; ENERGY CONSERVATION; EXPENSES FOR R&D FACILITIES AND MAJOR EQUIPMENT,2022,2023,2022,2023,Other R&D and Knowledge Based,R&D facilities and major equipment,R&D facilities and major equipment
AG26,FALSE,GAS (MANAGEMENT/SUPPORT),2003,2009,2004,2020,Other R&D and Knowledge Based,R&D administrative and operational expenses,R&D administrative and operational expenses
AG26,TRUE,R&D- ENERGY: GAS (MANAGEMENT/SUPPORT),2020,2023,2020,2023,Other R&D and Knowledge Based,R&D administrative and operational expenses,R&D administrative and operational expenses
AG27,FALSE,R&D-ENERGY - GAS-COMERCLIZ,2002,2007,2005,2015,Other R&D and Knowledge Based,Commercialization,Commercialization
AG31,FALSE,GEOTHERMAL (BASIC),2004,2009,2004,2021,Other R&D and Knowledge Based,Basic Research (6.1),Basic Research (6.1)
AG31,TRUE,ENERGY R&D SERVICES; EMERGENCY ENERGY PREPAREDNESS; BASIC RESEARCH,2022,2023,2022,2023,Other R&D and Knowledge Based,Basic Research (6.1),Basic Research (6.1)
AG32,FALSE,GEOTHERMAL (APPLIED/EXPLORATORY),2001,2009,2005,2021,Other R&D and Knowledge Based,Applied Research (6.2),Applied Research (6.2)
AG32,TRUE,ENERGY R&D SERVICES; EMERGENCY ENERGY PREPAREDNESS; APPLIED RESEARCH,2022,2023,2022,2023,Other R&D and Knowledge Based,Applied Research (6.2),Applied Research (6.2)
AG33,FALSE,GEOTHERMAL (ADVANCED),2006,2007,2019,2021,Other R&D and Knowledge Based,Advanced Development,Advanced Development
AG33,TRUE,ENERGY R&D SERVICES; EMERGENCY ENERGY PREPAREDNESS; EXPERIMENTAL DEVELOPMENT,2022,2023,2022,2023,Other R&D and Knowledge Based,Experimental Development,Experimental Development
AG34,FALSE,GEOTHERMAL (ENGINEERING),2009,2009,2009,2009,Other R&D and Knowledge Based,Engineering Development,Engineering Development
AG35,FALSE,GEOTHERMAL (OPERATIONAL),2005,2005,2006,2020,Other R&D and Knowledge Based,Operational Systems Development,Operational Systems Development
AG35,TRUE,ENERGY R&D SERVICES; EMERGENCY ENERGY PREPAREDNESS; EXPENSES FOR R&D FACILITIES AND MAJOR EQUIPMENT,2022,2023,2022,2023,Other R&D and Knowledge Based,R&D facilities and major equipment,R&D facilities and major equipment
AG36,FALSE,R&D- ENERGY: GEOTHERMAL (MANAGEMENT/SUPPORT),2020,2020,2021,2021,Other R&D and Knowledge Based,R&D administrative and operational expenses,R&D administrative and operational expenses
AG41,FALSE,WIND ENERGY (BASIC),2006,2020,2009,2020,Other R&D and Knowledge Based,Basic Research (6.1),Basic Research (6.1)
AG41,TRUE,"ENERGY R&D SERVICES; ENERGY INFORMATION, POLICY AND REGULATION; BASIC RESEARCH",2022,2023,2022,2023,Other R&D and Knowledge Based,Basic Research (6.1),Basic Research (6.1)
AG42,FALSE,WIND ENERGY (APPLIED/EXPLORATORY),2005,2020,2010,2021,Other R&D and Knowledge Based,Applied Research (6.2),Applied Research (6.2)
AG42,TRUE,"ENERGY R&D SERVICES; ENERGY INFORMATION, POLICY AND REGULATION; APPLIED RESEARCH",2022,2023,2022,2023,Other R&D and Knowledge Based,Applied Research (6.2),Applied Research (6.2)
AG44,FALSE,WIND ENERGY (ENGINEERING),2003,2020,2004,2020,Other R&D and Knowledge Based,Engineering Development,Engineering Development
AG44,TRUE,"ENERGY R&D SERVICES; ENERGY INFORMATION, POLICY AND REGULATION; R&D ADMINISTRATIVE EXPENSES",2023,2023,2023,2023,Other R&D and Knowledge Based,R&D administrative and operational expenses,R&D administrative and operational expenses
AG45,TRUE,"ENERGY R&D SVCS; ENERGY INFORMATION, POLICY & REGULATION; R&D FACILITIES & MAJ EQUIP",2022,2023,2022,2023,Other R&D and Knowledge Based,R&D facilities and major equipment,R&D facilities and major equipment
AG46,FALSE,WIND ENERGY (MANAGEMENT/SUPPORT),2008,2020,2010,2020,Other R&D and Knowledge Based,R&D administrative and operational expenses,R&D administrative and operational expenses
AG47,FALSE,R&D-ENERGY - WIND-COMERCLIZ,2001,2020,2006,2020,Other R&D and Knowledge Based,Commercialization,Commercialization
AG51,FALSE,NUCLEAR (BASIC),2001,2009,2002,2022,Other R&D and Knowledge Based,Basic Research (6.1),Basic Research (6.1)
AG52,FALSE,NUCLEAR (APPLIED/EXPLORATORY),2001,2009,2001,2020,Other R&D and Knowledge Based,Applied Research (6.2),Applied Research (6.2)
AG52,TRUE,R&D- ENERGY: NUCLEAR (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),2020,2023,2020,2023,Other R&D and Knowledge Based,Applied Research (6.2),Applied Research (6.2)
AG53,FALSE,NUCLEAR (ADVANCED),2001,2009,2001,2012,Other R&D and Knowledge Based,Advanced Development,Advanced Development
AG53,TRUE,R&D- ENERGY: NUCLEAR (ADVANCED DEVELOPMENT),2023,2023,2023,2023,Other R&D and Knowledge Based,Advanced Development,Advanced Development
AG54,FALSE,NUCLEAR (ENGINEERING),2001,2009,2003,2022,Other R&D and Knowledge Based,Engineering Development,Engineering Development
AG54,TRUE,R&D- ENERGY: NUCLEAR (ENGINEERING DEVELOPMENT),2020,2023,2020,2023,Other R&D and Knowledge Based,Engineering Development,Engineering Development
AG55,FALSE,NUCLEAR (OPERATIONAL),2001,2009,2001,2012,Other R&D and Knowledge Based,Operational Systems Development,Operational Systems Development
AG55,TRUE,R&D- ENERGY: NUCLEAR (OPERATIONAL SYSTEMS DEVELOPMENT),2020,2023,2020,2023,Other R&D and Knowledge Based,Operational Systems Development,Operational Systems Development
AG56,FALSE,NUCLEAR (MANAGEMENT/SUPPORT),2001,2009,2006,2022,Other R&D and Knowledge Based,R&D administrative and operational expenses,R&D administrative and operational expenses
AG57,FALSE,R&D-ENERGY - NUCLEAR-COMERCLIZ,2005,2009,2006,2012,Other R&D and Knowledge Based,Commercialization,Commercialization
AG61,FALSE,PETROLEUM (BASIC),2001,2009,2002,2022,Other R&D and Knowledge Based,Basic Research (6.1),Basic Research (6.1)
AG61,TRUE,R&D- ENERGY: PETROLEUM (BASIC RESEARCH),2020,2023,2020,2023,Other R&D and Knowledge Based,Basic Research (6.1),Basic Research (6.1)
AG62,FALSE,PETROLEUM (APPLIED/EXPLORATORY),2005,2009,2007,2020,Other R&D and Knowledge Based,Applied Research (6.2),Applied Research (6.2)
AG62,TRUE,R&D- ENERGY: PETROLEUM (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),2020,2023,2020,2023,Other R&D and Knowledge Based,Applied Research (6.2),Applied Research (6.2)
AG63,FALSE,PETROLEUM (ADVANCED),2003,2009,2005,2020,Other R&D and Knowledge Based,Advanced Development,Advanced Development
AG64,FALSE,PETROLEUM (ENGINEERING),2004,2009,2005,2020,Other R&D and Knowledge Based,Engineering Development,Engineering Development
AG65,FALSE,R&D- ENERGY: PETROLEUM (OPERATIONAL SYSTEMS DEVELOPMENT),2005,2020,2007,2020,Other R&D and Knowledge Based,Operational Systems Development,Operational Systems Development
AG66,FALSE,PETROLEUM (MANAGEMENT/SUPPORT),2003,2009,2004,2021,Other R&D and Knowledge Based,R&D administrative and operational expenses,R&D administrative and operational expenses
AG67,FALSE,R&D-ENERGY - PETROLEUM-COMERCLIZ,2003,2008,2007,2020,Other R&D and Knowledge Based,Commercialization,Commercialization
AG71,FALSE,SOLAR/PHOTOVOLTAIC (BASIC),2001,2009,2001,2020,Other R&D and Knowledge Based,Basic Research (6.1),Basic Research (6.1)
AG71,TRUE,R&D- ENERGY: SOLAR/PHOTOVOLTAIC (BASIC RESEARCH),2020,2022,2020,2022,Other R&D and Knowledge Based,Basic Research (6.1),Basic Research (6.1)
AG72,FALSE,R&D-ENERGY - SOLAR/PHOTOVOLTAIC-A R,2001,2020,2001,2021,Other R&D and Knowledge Based,Applied Research (6.2),Applied Research (6.2)
AG73,FALSE,SOLAR/PHOTOVOLTAIC (ADVANCED),2004,2009,2009,2022,Other R&D and Knowledge Based,Advanced Development,Advanced Development
AG74,FALSE,SOLAR/PHOTOVOLTAIC (ENGINEERING),2006,2009,2010,2020,Other R&D and Knowledge Based,Engineering Development,Engineering Development
AG75,FALSE,SOLAR/PHOTOVOLTAIC (OPERATIONAL),2009,2009,2009,2010,Other R&D and Knowledge Based,Operational Systems Development,Operational Systems Development
AG76,FALSE,R&D- ENERGY: SOLAR/PHOTOVOLTAIC (MANAGEMENT/SUPPORT),2020,2020,2020,2020,Other R&D and Knowledge Based,R&D administrative and operational expenses,R&D administrative and operational expenses
AG77,FALSE,R&D-ENERGY -SOLAR/PHOTOVOLTAIC-COME,2003,2006,2010,2020,Other R&D and Knowledge Based,Commercialization,Commercialization
AG77,TRUE,R&D- ENERGY: SOLAR/PHOTOVOLTAIC (COMMERCIALIZED),2020,2023,2020,2023,Other R&D and Knowledge Based,Commercialization,Commercialization
AG81,FALSE,R&D- ENERGY: CONSERVATION (BASIC RESEARCH),2001,2020,2003,2021,Other R&D and Knowledge Based,Basic Research (6.1),Basic Research (6.1)
AG82,FALSE,R&D-CONSERV OF ENERGY-A RES/EXPL DE,2001,2009,2004,2019,Other R&D and Knowledge Based,Applied Research (6.2),Applied Research (6.2)
AG83,FALSE,CONSERVATION OF ENERGY (ADVANCED),2004,2009,2007,2021,Other R&D and Knowledge Based,Advanced Development,Advanced Development
AG83,TRUE,R&D- ENERGY: CONSERVATION (ADVANCED DEVELOPMENT),2020,2023,2020,2023,Other R&D and Knowledge Based,Advanced Development,Advanced Development
AG84,FALSE,R&D-CONSERV OF ENERGY-ENG DEV,2005,2009,2006,2020,Other R&D and Knowledge Based,Engineering Development,Engineering Development
AG84,TRUE,R&D- ENERGY: CONSERVATION (ENGINEERING DEVELOPMENT),2020,2023,2020,2023,Other R&D and Knowledge Based,Engineering Development,Engineering Development
AG85,TRUE,R&D- ENERGY: CONSERVATION (OPERATIONAL SYSTEMS DEVELOPMENT),2020,2022,2020,2022,Other R&D and Knowledge Based,Operational Systems Development,Operational Systems Development
AG86,FALSE,R&D-CONSERV OF ENERGY-MGMT SUP,2001,2009,2007,2010,Other R&D and Knowledge Based,R&D administrative and operational expenses,R&D administrative and operational expenses
AG86,TRUE,R&D- ENERGY: CONSERVATION (MANAGEMENT/SUPPORT),2020,2023,2020,2023,Other R&D and Knowledge Based,R&D administrative and operational expenses,R&D administrative and operational expenses
AG90,FALSE,R&D-OTHER ENERGY,2003,2003,2005,2005,Other R&D and Knowledge Based,Uncategorized R&D,Uncategorized R&D
AG91,FALSE,OTHER ENERGY (BASIC),2001,2009,2002,2022,Other R&D and Knowledge Based,Basic Research (6.1),Basic Research (6.1)
AG91,TRUE,R&D- ENERGY: OTHER (BASIC RESEARCH),2020,2023,2020,2023,Other R&D and Knowledge Based,Basic Research (6.1),Basic Research (6.1)
AG92,FALSE,OTHER ENERGY (APPLIED/EXPLORATORY),2001,2009,2004,2022,Other R&D and Knowledge Based,Applied Research (6.2),Applied Research (6.2)
AG92,TRUE,R&D- ENERGY: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),2020,2023,2020,2023,Other R&D and Knowledge Based,Applied Research (6.2),Applied Research (6.2)
AG93,FALSE,OTHER ENERGY (ADVANCED),2001,2009,2002,2021,Other R&D and Knowledge Based,Advanced Development,Advanced Development
AG93,TRUE,R&D- ENERGY: OTHER (ADVANCED DEVELOPMENT),2020,2023,2020,2023,Other R&D and Knowledge Based,Advanced Development,Advanced Development
AG94,FALSE,R&D- ENERGY: OTHER (ENGINEERING DEVELOPMENT),2001,2020,2002,2022,Other R&D and Knowledge Based,Engineering Development,Engineering Development
