freq,unit,na_item,geo\TIME_PERIOD	1975 	1976 	1977 	1978 	1979 	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,PD15_NAC,B1GQ,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	64.317 	66.542 	68.110 	69.858 	71.633 	74.018 	77.059 	80.207 	83.361 	86.598 	90.149 	93.737 	96.939 	99.124 	99.267 	99.419 	99.400 	99.286 	99.681 	99.458 	100.000 	100.322 	101.625 	102.891 	104.380 	105.660 p	108.091 p	112.718 p
A,PD15_NAC,B1GQ,EU15	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	71.082 	73.415 	75.213 	76.234 	77.761 	80.156 	81.375 	83.139 	83.475 	85.424 	86.947 	88.843 	90.949 	90.413 	89.513 	91.119 	92.197 	94.617 	95.125 	96.895 	100.000 	98.873 	98.923 	100.182 	102.007 	: 	: 	: 
A,PD15_NAC,B1GQ,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	71.556 	73.632 	73.699 	74.610 	75.734 	77.219 	79.185 	81.182 	82.645 	84.289 	86.282 	88.207 	90.826 	93.161 	92.977 	94.373 	95.577 	96.856 	97.963 	98.657 	100.000 	100.739 	102.069 	103.511 	105.319 	107.189 	109.752 	115.312 
A,PD15_NAC,B1GQ,EU28	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	69.594 	71.919 	73.817 	75.000 	76.406 	78.985 	80.487 	82.289 	82.438 	84.439 	86.370 	88.431 	90.955 	91.099 	89.669 	91.524 	92.640 	94.897 	95.383 	97.018 	100.000 	98.917 	99.262 	100.650 	102.592 	: 	: 	: 
A,PD15_NAC,B1GQ,FI	: 	: 	: 	: 	: 	32.661 	36.461 	39.761 	43.018 	46.650 	49.083 	51.415 	53.617 	57.737 	61.507 	64.703 	65.681 	66.264 	67.434 	68.678 	71.564 	71.508 	72.995 	75.257 	75.954 	77.198 	79.749 	80.502 	80.654 	81.141 	81.894 	82.648 	84.924 	87.503 	89.055 	89.343 	91.687 	94.414 	96.829 	98.409 	100.000 	100.087 	100.907 	102.927 	104.468 	106.175 	108.471 	113.078 
A,PD15_NAC,B1GQ,FR	23.768 	26.323 	28.633 	31.290 	34.516 	38.550 	43.057 	48.265 	52.922 	56.663 	59.753 	62.773 	64.315 	66.369 	68.549 	70.371 	72.163 	73.583 	74.777 	75.469 	76.318 	77.354 	78.034 	78.775 	78.936 	80.162 	81.772 	83.462 	85.014 	86.394 	88.066 	89.965 	92.265 	94.449 	94.512 	95.523 	96.428 	97.548 	98.307 	98.875 	100.000 	100.523 	101.047 	102.049 	103.354 	106.232 	107.649 p	110.912 p
A,PD15_NAC,B1GQ,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	51.685 	53.680 	57.373 	62.063 	64.233 	67.019 	69.857 	72.541 	75.664 	78.408 	80.850 	83.998 	87.589 	92.414 	95.167 	96.051 	97.653 	99.034 	99.769 	99.919 	100.000 	99.936 	101.099 	103.145 	105.208 	105.979 	108.136 p	117.006 p
A,PD15_NAC,B1GQ,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	26.355 	32.135 	38.645 	43.966 	47.536 	52.092 	57.846 	62.526 	65.924 	69.280 	71.100 	73.700 	77.712 	81.447 	84.867 	87.016 	88.694 	91.260 	93.834 	97.299 	100.000 	101.320 	105.403 	110.513 	115.801 	123.214 	131.149 	151.192 p
A,PD15_NAC,B1GQ,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	59.468 	60.831 	63.221 	67.364 	70.312 	75.146 	80.301 	84.466 	87.769 	88.222 	90.933 	94.043 	95.170 	94.690 	90.311 	87.701 	89.216 	91.254 	92.213 	92.263 	100.000 	100.728 	101.831 	102.926 	106.602 	104.934 	105.624 	111.217 
A,PD15_NAC,B1GQ,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	38.203 	39.150 	40.228 	42.125 	43.599 	45.353 	49.301 	52.196 	52.452 	53.856 	55.507 	60.290 	62.902 	70.535 	78.156 	83.134 	85.709 	88.658 	90.541 	94.291 	100.000 	102.261 	103.219 	105.935 	110.638 	115.127 	122.676 	133.771 
A,PD15_NAC,B1GQ,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	65.911 	68.882 	70.651 	72.348 	73.460 	74.776 	77.045 	79.567 	82.072 	84.263 	85.958 	87.784 	89.960 	92.120 	93.666 	94.075 	95.587 	97.066 	98.180 	99.077 	100.000 	101.134 	101.869 	102.957 	103.923 	105.556 	106.186 	109.382 
A,PD15_NAC,B1GQ,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	48.070 	57.198 	63.747 	65.883 	65.055 	65.900 	65.688 	65.897 	65.361 	67.114 	71.735 	76.566 	83.116 	91.186 	88.181 	90.415 	95.252 	97.856 	99.110 	99.936 	100.000 	101.576 	105.887 	109.621 	112.605 	114.732 	121.997 	142.419 
A,PD15_NAC,B1GQ,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	55.248 	57.338 	58.840 	57.644 	60.391 	63.174 	63.673 	64.606 	66.018 	68.076 	71.355 	75.961 	77.399 	82.515 	83.233 	87.102 	90.107 	93.050 	95.167 	97.829 	100.000 	98.892 	101.012 	103.144 	104.582 	109.492 	116.260 	123.727 p
A,PD15_NAC,B1GQ,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	36.468 	41.002 	43.416 	45.511 	46.190 	47.861 	48.963 	51.447 	54.028 	57.844 	64.322 	72.319 	86.829 	96.955 	87.595 	87.279 	92.973 	96.351 	98.007 	99.884 	100.000 	100.863 	103.837 	107.877 	110.677 	111.753 	119.037 	134.602 
A,PD15_NAC,B1GQ,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	72.004 	83.554 	89.929 	92.094 	93.572 	94.697 	94.865 	96.825 	97.828 	100.000 	105.101 	109.121 	112.642 	114.920 	114.718 	120.140 	132.473 p
A,PD15_NAC,B1GQ,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	67.292 	70.468 	71.132 	72.307 	72.187 	75.722 	78.185 	81.775 	86.266 	86.520 	88.286 	91.573 	92.491 	96.638 	98.036 	100.000 	103.465 	106.370 	110.546 	111.506 	113.038 	117.072 p	126.445 e
A,PD15_NAC,B1GQ,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	68.723 	71.759 	73.715 	75.094 	76.681 	78.167 	79.855 	81.679 	84.317 	86.021 	88.744 	89.742 	91.668 	93.754 	95.951 	100.000 	101.997 	104.176 	106.462 	108.954 	110.706 	112.763 	118.677 
A,PD15_NAC,B1GQ,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	70.191 	70.921 	72.795 	74.310 	75.264 	77.838 	81.095 	84.153 	85.979 	87.015 	88.745 	91.018 	92.904 	95.047 	95.256 	96.152 	96.338 	97.732 	98.983 	99.233 	100.000 	100.455 	101.721 	104.200 	107.360 	109.431 	112.078 p	118.022 p
A,PD15_NAC,B1GQ,NO	16.206 	17.476 	18.904 	20.087 	21.233 	24.020 	27.114 	29.963 	32.049 	34.040 	35.809 	35.612 	38.183 	40.042 	42.289 	43.901 	44.872 	44.585 	45.608 	45.536 	46.931 	48.930 	50.294 	49.945 	53.253 	61.419 	62.470 	61.521 	63.281 	66.983 	72.853 	79.214 	81.652 	90.280 	85.661 	90.763 	96.819 	100.065 	102.620 	102.885 	100.000 	98.402 	102.418 	109.324 	108.724 	105.987 	124.114 	158.907 
A,PD15_NAC,B1GQ,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	42.140 	49.705 	56.498 	62.725 	66.591 	70.669 	72.874 	74.222 	74.798 	78.476 	80.484 	81.875 	84.918 	88.225 	91.565 	92.997 	95.895 	98.027 	98.243 	98.700 	100.000 	100.087 	101.851 	103.103 	106.230 	110.750 	116.577 	129.721 
A,PD15_NAC,B1GQ,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	62.398 	63.890 	66.372 	68.911 	71.234 	73.670 	76.408 	79.609 	82.337 	84.313 	87.123 	89.898 	92.564 	94.173 	95.207 	95.819 	95.565 	95.194 	97.334 	98.020 	100.000 	101.717 	103.255 	105.127 	106.966 	109.109 	110.753 p	115.662 p
A,PD15_NAC,B1GQ,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.833 	2.639 	6.211 	9.200 	13.757 	19.697 	27.173 	33.345 	41.066 	47.413 	53.106 	58.738 	68.029 	78.924 	82.149 	87.005 	90.465 	93.905 	95.210 	96.838 	100.000 	102.621 	107.395 	114.067 	121.829 	126.836 	133.446 p	151.263 p
A,PD15_NAC,B1GQ,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.582 	4.778 	5.774 	7.184 	9.188 	16.630 	31.069 	37.131 	41.767 	45.160 	51.784 	58.183 	63.246 	68.992 	74.433 	78.698 	85.709 	91.022 	95.688 	98.162 	100.000 	101.550 	104.567 	106.632 	109.234 	111.909 	118.527 	131.088 p
A,PD15_NAC,B1GQ,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	69.405 	71.201 	73.915 	74.661 	75.800 	76.416 	77.102 	78.263 	80.207 	81.448 	82.833 	83.109 	83.679 	85.150 	87.556 	90.389 	92.521 	93.398 	94.414 	95.360 	96.244 	97.923 	100.000 	101.526 	103.693 	106.179 	108.883 	111.054 	114.236 	120.756 
A,PD15_NAC,B1GQ,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	44.354 	49.434 	53.602 	57.583 	61.344 	64.758 	70.376 	75.712 	79.982 	82.670 	83.927 	85.791 	89.375 	93.366 	96.541 	95.547 	96.541 	97.003 	98.556 	99.005 	100.000 	100.874 	102.351 	104.513 	106.877 	108.223 	111.045 	119.067 
A,PD15_NAC,B1GQ,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	54.234 	56.695 	59.410 	62.293 	66.788 	73.126 	76.871 	79.898 	84.153 	88.982 	91.245 	93.890 	94.938 	97.651 	96.517 	97.031 	98.658 	99.902 	100.411 	100.217 	100.000 	99.488 	100.697 	102.746 	105.309 	107.806 	110.377 	118.660 
A,PD15_NAC,B1GQ,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6.612 	10.201 	15.236 	23.308 	32.065 	39.533 	44.446 	47.595 	52.058 	55.285 	61.945 	65.319 	69.897 	75.629 	81.243 	86.345 	92.726 	100.000 	108.130 	120.006 	139.778 	159.094 	182.724 	235.624 	: 
A,PD15_NAC,B1GQ,UK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	68.430 	71.249 	71.200 	71.937 	72.610 	73.939 	74.763 	76.338 	78.146 	80.125 	82.290 	84.599 	86.884 	89.560 	91.007 	92.470 	94.381 	95.944 	97.652 	99.343 	100.000 	102.151 	104.131 	106.474 	108.760 	: 	: 	: 
A,PD15_NAC,B1GQ,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	85.687 	83.259 	88.582 	94.165 	97.485 	97.829 	99.396 	100.000 	100.780 	101.223 	102.740 	103.729 	105.162 	111.594 	121.312 p
