costaccountingstandardsclause,2,57,2813,217182,249091,240574,227903,230094,239997,260836,256866,259810,271683,686,1374,1726,3042,3975,3336,4913,7177,28557,234859,980298,2379843,2495164,1947410,2043817,3924536,4390149,3811857,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.1%,0.2%,0.2%,0.3%,0.2%,0.1%,0.1%,0.2%,0.6%,6.7%,27.7%,70.0%,79.9%,78.2%,81.0%,89.8%,91.2%,90.2%
descriptionofcontractrequirement,2,57,2813,217182,249091,240574,227903,230094,239997,260836,256866,259810,271683,565060,597676,759666,1071594,754452,1370060,1084522,75337,56652,42395,15192,59,31,8,0,0,2,0,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,95.0%,93.1%,91.5%,90.5%,37.8%,46.9%,28.6%,1.8%,1.3%,1.2%,0.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
purchasecardaspaymentmethod,2,57,2813,217182,249091,240574,227903,230094,239997,260836,256866,259810,271683,27218,28575,38592,52648,93521,82318,81318,108429,117680,155178,177747,187692,188350,207440,206904,210993,211235,197672,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,4.6%,4.5%,4.6%,4.4%,4.7%,2.8%,2.1%,2.6%,2.6%,4.4%,5.0%,5.5%,6.0%,8.3%,8.2%,4.8%,4.4%,4.7%
numberofactions,2,57,2813,217179,249085,240546,225403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,25894,33521,100231,4,0,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,98.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.0%,1.3%,2.3%,0.0%,0.0%
nationalinterestactioncode,2,57,2813,217182,249091,240574,227903,230094,239997,260836,256866,259810,271683,850,1042,1577,2398,341,1026,207,214,285,12171,1288,1746,2256,3048,3777,7885,9955,9949,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.1%,0.2%,0.2%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.3%,0.0%,0.1%,0.1%,0.1%,0.1%,0.2%,0.2%,0.2%
progsourceagency,2,57,2813,217182,249091,240574,227903,230094,239997,260836,256866,259810,271684,594477,641667,829601,1181377,1983268,2910765,3783848,4095500,4473213,3397022,2222460,565300,196725,209940,203556,206698,228307,377090,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.9%,99.9%,99.8%,99.3%,99.7%,99.7%,99.7%,99.4%,97.3%,62.9%,16.6%,6.3%,8.4%,8.1%,4.7%,4.7%,8.9%
progsourceaccount,2,57,2813,217182,249091,240574,227903,230094,239997,260836,256866,259810,271684,594481,641671,829604,1181382,1983268,2910767,3783850,4095503,4473225,3397052,2222855,565300,196725,209940,203556,206698,228307,377090,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.9%,99.9%,99.8%,99.3%,99.7%,99.7%,99.7%,99.4%,97.3%,62.9%,16.6%,6.3%,8.4%,8.1%,4.7%,4.7%,8.9%
progsourcesubacct,2,57,2813,217182,249091,240574,227903,230094,239997,260836,256866,259810,271684,594721,642059,830402,1183390,1992906,2917568,3791589,4105919,4496774,3478648,3296367,3013326,2764581,2172174,2151476,3902133,4282107,3750441,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.8%,100.0%,100.0%,99.9%,99.9%,99.6%,93.2%,88.6%,88.5%,87.2%,85.2%,89.3%,89.0%,88.8%
account_title,2,57,2813,217182,249091,240574,227903,230094,239997,260836,256866,259810,271684,594736,642085,830475,1183459,1997496,2918840,3793485,4108014,4501556,3492688,3535067,3400094,3123361,2491874,2524256,4370809,4813273,4224293,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
rec_flag,2,57,2813,217182,249091,240574,227903,230094,239997,260836,256866,259810,271684,594736,642082,830475,1183458,1997488,2918809,3793444,4107977,4501499,3465638,3499111,3386852,3117360,2487697,2522502,4370333,4813273,4224293,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.2%,99.0%,99.6%,99.8%,99.8%,99.9%,100.0%,100.0%,100.0%
