"CSIScontractID","override_unmodified_ceiling","override_unmodified_base","override_change_order_growth","override_exercised_growth","CSIS_inspection"
26435875,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
28553215,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893372,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893302,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893293,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893643,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893338,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
26435847,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
8496545,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893170,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893644,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
8496660,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893030,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24893660,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893231,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24892237,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24892530,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24892976,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893617,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893385,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893296,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893391,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893349,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24892972,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893047,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893016,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893203,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893081,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24893307,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893669,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893050,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
8496490,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24893282,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24893126,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24893641,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893566,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
8496311,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24892294,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24893287,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
8496412,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
27546896,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
8496603,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24893395,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893388,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
8496628,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
26328676,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24893150,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24892981,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
8496356,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893252,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
25582250,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
